"","SOC6","OCC_TITLE","TOT_EMP","A_MEDIAN","BA_Plus","Sub_BA","is_middle_edu","dominant_requirement","Analytical","Fundamental","Managerial","Mechanical","Social","Total_Skill_Sum","Rel_Social","Rel_Analytical","Rel_Fundamental","Rel_Managerial","Rel_Mechanical","is_imputed","is_middle_wage","is_middle_wage_occ","SOC"
"35","131022","Wholesale and Retail Buyers, Except Farm Products",8910,63520,35.84,64.16,TRUE,"Sub-Baccalaureate",2.40375,3.3925,2.97,1.2975,3.33714285714286,13.4008928571429,0.25,0.18,0.25,0.22,0.1,FALSE,TRUE,TRUE,"131022"
"36","131023","Purchasing Agents, Except Wholesale, Retail, and Farm Products",16450,70700,85,15,FALSE,"Bachelor's or Higher",2.35875,3.735,3.2825,1.25,3.30142857142857,13.9276785714286,0.24,0.17,0.27,0.24,0.09,FALSE,TRUE,FALSE,"131023"
"37","131032","Insurance Appraisers, Auto Damage",1200,70600,31.96,68.03,TRUE,"Sub-Baccalaureate",1.8575,3.17,2.0325,1.42,2.62571428571429,11.1057142857143,0.24,0.17,0.29,0.18,0.13,FALSE,TRUE,TRUE,"131032"
"38","131041","Compliance Officers",18970,77470,59.575,40.4216666666667,FALSE,"Bachelor's or Higher",2.51583333333333,3.715625,2.4225,1.6225,3.21738095238095,13.4938392857143,0.24,0.19,0.28,0.18,0.12,FALSE,TRUE,FALSE,"131041"
"39","131051","Cost Estimators",9600,75020,75,25,FALSE,"Bachelor's or Higher",2.6425,3.38875,3.03,1.23375,2.87428571428571,13.1692857142857,0.22,0.2,0.26,0.23,0.09,FALSE,TRUE,FALSE,"131051"
"40","131071","Human Resources Specialists",32260,69680,49.37,50.62,TRUE,"Sub-Baccalaureate",1.985,3.515,2.3425,1.18625,3.03714285714286,12.0658928571429,0.25,0.16,0.29,0.19,0.1,FALSE,TRUE,TRUE,"131071"
"41","131075","Labor Relations Specialists",7780,67370,70,30,FALSE,"Bachelor's or Higher",2.28,3.95375,2.685,1.21875,3.66142857142857,13.7989285714286,0.27,0.17,0.29,0.19,0.09,FALSE,TRUE,FALSE,"131075"
"42","131081","Logisticians",5880,76580,80.7833333333333,19.2233333333333,FALSE,"Bachelor's or Higher",2.9625,3.5575,2.89583333333333,1.71875,3.07714285714286,14.2117261904762,0.22,0.21,0.25,0.2,0.12,FALSE,TRUE,FALSE,"131081"
"43","131111","Management Analysts",40730,96360,75.77,24.24,FALSE,"Bachelor's or Higher",2.7025,3.765,2.47,1.14125,3.16285714285714,13.2416071428571,0.24,0.2,0.28,0.19,0.09,FALSE,FALSE,FALSE,"131111"
"44","131121","Meeting, Convention, and Event Planners",9190,57710,50.23,49.76,FALSE,"Bachelor's or Higher",2.375,3.51625,3.0925,1.295,3.43,13.70875,0.25,0.17,0.26,0.23,0.09,FALSE,TRUE,FALSE,"131121"
"45","131131","Fundraisers",6200,58970,87.49,12.5,FALSE,"Bachelor's or Higher",2.23375,3.65625,2.875,1.28125,3.53571428571429,13.5819642857143,0.26,0.16,0.27,0.21,0.09,FALSE,TRUE,FALSE,"131131"
"46","131141","Compensation, Benefits, and Job Analysis Specialists",8910,71970,89.47,10.52,FALSE,"Bachelor's or Higher",2.75125,3.5175,2.5025,1.15625,3.01857142857143,12.9460714285714,0.23,0.21,0.27,0.19,0.09,FALSE,TRUE,FALSE,"131141"
"47","131151","Training and Development Specialists",16600,65720,88.89,11.12,FALSE,"Bachelor's or Higher",2.5625,3.9525,2.75,1.2025,3.66,14.1275,0.26,0.18,0.28,0.19,0.09,FALSE,TRUE,FALSE,"131151"
"48","131161","Market Research Analysts and Marketing Specialists",55090,73010,100,0,FALSE,"Bachelor's or Higher",2.78,3.4375,2.5325,1.23375,2.92714285714286,12.9108928571429,0.23,0.22,0.27,0.2,0.1,FALSE,TRUE,FALSE,"131161"
